Attrition,EmployeeCount,EmployeeNumber,EnvironmentSatisfaction,Gender,HourlyRate,JobInvolvement,JobLevel,JobRole,JobSatisfaction
Yes,1,1,2,Female,94,3,2,Sales Executive,4
No,1,2,3,Male,61,2,2,Research Scientist,2
Yes,1,4,4,Male,92,2,1,Laboratory Technician,3
No,1,5,4,Female,56,3,1,Research Scientist,3
No,1,7,1,Male,40,3,1,Laboratory Technician,2
No,1,8,4,Male,79,3,1,Laboratory Technician,4
No,1,10,3,Female,81,4,1,Laboratory Technician,1
No,1,11,4,Male,67,3,1,Laboratory Technician,3
No,1,12,4,Male,44,2,3,Manufacturing Director,3
No,1,13,3,Male,94,3,2,Healthcare Representative,3
No,1,14,1,Male,84,4,1,Laboratory Technician,2
No,1,15,4,Female,49,2,2,Laboratory Technician,3
No,1,16,1,Male,31,3,1,Research Scientist,3
No,1,18,2,Male,93,3,1,Laboratory Technician,4
Yes,1,19,3,Male,50,2,1,Laboratory Technician,3
No,1,20,2,Female,51,4,3,Manufacturing Director,1
No,1,21,1,Male,80,4,1,Research Scientist,2
No,1,22,4,Male,96,4,1,Laboratory Technician,4
No,1,23,1,Female,78,2,4,Manager,4
No,1,24,4,Male,45,3,1,Research Scientist,4
No,1,26,1,Female,96,4,2,Manufacturing Director,3
Yes,1,27,3,Male,82,2,1,Sales Representative,1
No,1,28,1,Female,53,3,3,Research Director,2
No,1,30,3,Male,96,3,1,Research Scientist,4
Yes,1,31,2,Male,83,3,1,Research Scientist,1
No,1,32,3,Female,58,3,5,Manager,3
Yes,1,33,2,Female,72,1,1,Research Scientist,1
No,1,35,3,Male,48,3,2,Sales Executive,2
No,1,36,1,Female,42,2,3,Healthcare Representative,4
No,1,38,2,Female,83,3,5,Manager,1
No,1,39,3,Male,78,3,1,Laboratory Technician,4
No,1,40,4,Male,41,3,2,Healthcare Representative,4
No,1,41,4,Male,83,2,1,Laboratory Technician,3
Yes,1,42,4,Male,56,3,2,Sales Representative,4
Yes,1,45,2,Male,61,3,1,Research Scientist,4
No,1,46,4,Female,72,4,1,Research Scientist,3
Yes,1,47,1,Male,86,2,1,Sales Representative,3
No,1,49,4,Female,97,3,1,Sales Representative,4
No,1,51,2,Female,82,2,1,Research Scientist,1
No,1,52,3,Female,42,4,2,Sales Executive,1
No,1,53,3,Male,75,3,1,Laboratory Technician,4
No,1,54,4,Female,33,3,1,Laboratory Technician,1
Yes,1,55,1,Male,48,1,1,Laboratory Technician,3
No,1,56,4,Male,37,3,3,Sales Executive,3
No,1,57,3,Female,58,3,2,Laboratory Technician,4
Yes,1,58,2,Female,49,3,5,Research Director,3
No,1,60,2,Male,72,3,2,Sales Executive,3
No,1,61,2,Male,73,3,1,Research Scientist,2
No,1,62,1,Male,98,3,2,Sales Executive,4
No,1,63,4,Male,36,4,1,Laboratory Technician,4
Yes,1,64,1,Male,98,2,3,Laboratory Technician,3
Yes,1,65,3,Male,50,3,1,Laboratory Technician,3
No,1,68,2,Female,75,3,2,Sales Executive,1
No,1,70,3,Male,79,2,3,Healthcare Representative,1
No,1,72,3,Female,47,2,2,Sales Executive,4
No,1,73,1,Female,98,3,3,Research Director,4
No,1,74,2,Male,71,3,3,Sales Executive,1
No,1,75,3,Female,30,3,1,Laboratory Technician,1
No,1,76,4,Male,48,3,2,Laboratory Technician,4
No,1,77,1,Male,51,2,2,Manufacturing Director,3
No,1,78,1,Male,33,3,2,Manufacturing Director,4
No,1,79,4,Female,50,3,2,Laboratory Technician,4
No,1,80,2,Female,43,2,5,Research Director,3
No,1,81,1,Female,99,3,3,Sales Executive,1
No,1,83,3,Female,59,3,3,Healthcare Representative,3
No,1,84,4,Female,33,3,4,Manager,3
No,1,85,2,Male,95,2,2,Manufacturing Director,2
No,1,86,2,Male,59,3,3,Research Scientist,1
No,1,88,2,Male,79,3,1,Research Scientist,1
Yes,1,90,4,Male,79,2,1,Research Scientist,3
No,1,91,1,Female,57,2,2,Sales Executive,3
No,1,94,3,Male,76,3,1,Research Scientist,2
No,1,95,3,Male,87,3,1,Research Scientist,2
No,1,96,2,Male,66,3,2,Research Scientist,2
No,1,97,2,Female,55,4,1,Laboratory Technician,4
No,1,98,3,Female,61,3,2,Manufacturing Director,4
No,1,100,3,Male,32,2,2,Sales Executive,1
No,1,101,4,Male,52,3,3,Research Director,1
No,1,102,1,Male,30,3,3,Research Director,3
No,1,103,2,Male,80,3,2,Human Resources,2
No,1,104,4,Male,55,2,2,Laboratory Technician,4
No,1,105,2,Male,30,2,1,Research Scientist,3
No,1,106,1,Male,70,3,3,Sales Executive,4
No,1,107,2,Female,79,1,2,Research Scientist,4
No,1,110,1,Male,94,3,2,Manufacturing Director,2
No,1,112,4,Male,49,1,3,Manufacturing Director,4
No,1,113,3,Male,62,3,1,Sales Representative,1
No,1,116,4,Male,96,3,1,Laboratory Technician,4
No,1,117,3,Male,99,2,2,Healthcare Representative,4
Yes,1,118,3,Male,64,2,3,Sales Executive,4
No,1,119,3,Male,78,2,4,Healthcare Representative,2
No,1,120,3,Male,71,3,2,Sales Executive,4
No,1,121,3,Female,63,2,2,Sales Executive,2
No,1,124,3,Male,40,2,3,Healthcare Representative,1
No,1,125,2,Male,87,3,2,Sales Executive,3
No,1,126,1,Female,60,3,3,Research Director,3
No,1,128,1,Female,33,3,2,Sales Executive,3
No,1,129,2,Male,43,3,2,Sales Executive,3
No,1,131,4,Male,37,3,4,Sales Executive,3
No,1,132,2,Male,67,3,2,Laboratory Technician,2
Yes,1,133,3,Male,63,3,1,Human Resources,1
No,1,134,4,Male,71,3,1,Research Scientist,1
Yes,1,137,4,Female,66,2,1,Laboratory Technician,4
No,1,138,1,Female,41,3,2,Research Scientist,3
No,1,139,3,Male,100,2,2,Healthcare Representative,4
No,1,140,3,Female,32,2,5,Manager,4
No,1,141,1,Female,73,3,5,Research Director,2
Yes,1,142,3,Male,46,2,2,Sales Executive,3
No,1,143,4,Male,64,2,1,Research Scientist,4
No,1,144,2,Female,59,3,1,Laboratory Technician,4
No,1,145,1,Female,30,2,3,Healthcare Representative,1
Yes,1,147,1,Male,66,1,2,Laboratory Technician,3
No,1,148,4,Female,30,4,4,Manager,4
No,1,150,2,Male,52,3,1,Laboratory Technician,3
No,1,151,3,Female,45,2,2,Research Scientist,2
No,1,152,3,Male,87,3,3,Sales Executive,4
No,1,153,3,Female,45,2,3,Manager,1
No,1,154,2,Female,92,3,3,Sales Executive,4
No,1,155,1,Female,39,3,1,Laboratory Technician,4
No,1,158,3,Male,92,3,4,Manager,4
No,1,159,1,Male,96,1,1,Research Scientist,3
No,1,160,3,Male,95,3,2,Sales Executive,2
Yes,1,161,2,Female,72,3,1,Research Scientist,2
No,1,162,1,Male,51,3,5,Research Director,3
Yes,1,163,2,Male,76,1,2,Sales Executive,3
No,1,164,3,Female,46,2,1,Research Scientist,2
Yes,1,165,4,Female,94,3,3,Healthcare Representative,4
Yes,1,167,4,Male,50,3,1,Sales Representative,3
No,1,169,3,Male,100,3,1,Laboratory Technician,4
No,1,170,3,Female,96,3,2,Manufacturing Director,1
No,1,171,2,Female,72,4,1,Research Scientist,3
No,1,174,3,Female,77,3,3,Sales Executive,4
Yes,1,175,2,Female,71,1,2,Sales Executive,3
No,1,176,3,Male,96,3,3,Sales Executive,3
No,1,177,3,Female,61,3,1,Human Resources,3
No,1,178,2,Male,84,3,2,Manufacturing Director,2
Yes,1,179,1,Male,53,1,3,Manufacturing Director,4
No,1,182,4,Female,47,2,2,Sales Executive,3
No,1,183,1,Male,41,2,2,Sales Executive,3
No,1,184,3,Male,48,3,2,Human Resources,4
Yes,1,190,1,Female,41,3,1,Laboratory Technician,1
No,1,192,3,Male,83,3,1,Research Scientist,4
No,1,193,4,Female,32,3,2,Research Scientist,3
No,1,194,1,Female,75,3,1,Research Scientist,3
No,1,195,4,Male,35,1,2,Sales Executive,4
No,1,197,4,Female,84,3,1,Research Scientist,1
No,1,198,2,Male,35,2,1,Laboratory Technician,4
No,1,199,4,Male,91,2,4,Manager,1
No,1,200,3,Male,94,3,1,Laboratory Technician,1
No,1,201,2,Female,79,3,1,Laboratory Technician,2
No,1,202,2,Female,54,3,2,Research Scientist,2
No,1,204,3,Male,94,3,3,Sales Executive,2
No,1,205,2,Male,34,3,2,Sales Representative,3
No,1,206,2,Male,60,3,2,Laboratory Technician,2
No,1,207,2,Female,43,3,3,Sales Executive,4
No,1,208,4,Male,41,3,2,Manufacturing Director,3
No,1,211,2,Male,34,2,2,Manufacturing Director,3
No,1,214,2,Female,75,2,1,Research Scientist,2
No,1,215,3,Male,67,2,3,Sales Executive,4
No,1,216,3,Female,75,3,1,Sales Representative,3
No,1,217,3,Male,80,3,1,Research Scientist,4
