Attrition,MaritalStatus,MonthlyIncome,MonthlyRate,NumCompaniesWorked,Over18,OverTime,PercentSalaryHike,PerformanceRating,RelationshipSatisfaction
Yes,Single,5993,19479,8,Y,Yes,11,3,1
No,Married,5130,24907,1,Y,No,23,4,4
Yes,Single,2090,2396,6,Y,Yes,15,3,2
No,Married,2909,23159,1,Y,Yes,11,3,3
No,Married,3468,16632,9,Y,No,12,3,4
No,Single,3068,11864,0,Y,No,13,3,3
No,Married,2670,9964,4,Y,Yes,20,4,1
No,Divorced,2693,13335,1,Y,No,22,4,2
No,Single,9526,8787,0,Y,No,21,4,2
No,Married,5237,16577,6,Y,No,13,3,2
No,Married,2426,16479,0,Y,No,13,3,3
No,Single,4193,12682,0,Y,Yes,12,3,4
No,Divorced,2911,15170,1,Y,No,17,3,4
No,Divorced,2661,8758,0,Y,No,11,3,3
Yes,Single,2028,12947,5,Y,Yes,14,3,2
No,Divorced,9980,10195,1,Y,No,11,3,3
No,Divorced,3298,15053,0,Y,Yes,12,3,4
No,Divorced,2935,7324,1,Y,Yes,13,3,2
No,Married,15427,22021,2,Y,No,16,3,3
No,Single,3944,4306,5,Y,Yes,11,3,3
No,Divorced,4011,8232,0,Y,No,18,3,4
Yes,Single,3407,6986,7,Y,No,23,4,2
No,Single,11994,21293,0,Y,No,11,3,3
No,Single,1232,19281,1,Y,No,14,3,4
Yes,Single,2960,17102,2,Y,No,11,3,3
No,Divorced,19094,10735,4,Y,No,11,3,4
Yes,Single,3919,4681,1,Y,Yes,22,4,2
No,Married,6825,21173,0,Y,No,11,3,4
No,Married,10248,2094,3,Y,No,14,3,4
No,Single,18947,22822,3,Y,No,12,3,4
No,Single,2496,6670,4,Y,No,11,3,4
No,Married,6465,19121,2,Y,Yes,13,3,4
No,Single,2206,16117,1,Y,No,13,3,1
Yes,Married,2086,3335,3,Y,No,14,3,3
Yes,Married,2293,3020,2,Y,Yes,16,3,1
No,Divorced,2645,21923,1,Y,No,12,3,4
Yes,Married,2683,3810,1,Y,Yes,14,3,3
No,Married,2014,9687,1,Y,No,13,3,1
No,Married,3419,13072,9,Y,Yes,14,3,4
No,Married,5376,3193,2,Y,No,19,3,1
No,Divorced,1951,10910,1,Y,No,12,3,3
No,Divorced,2341,19715,1,Y,No,13,3,4
Yes,Single,2293,10558,1,Y,No,12,3,3
No,Single,8726,2975,1,Y,No,15,3,4
No,Single,4011,10781,1,Y,No,23,4,4
Yes,Married,19545,16280,1,Y,No,12,3,4
No,Single,4568,10034,0,Y,No,20,4,3
No,Married,3022,10227,4,Y,No,21,4,1
No,Single,5772,20445,4,Y,Yes,21,4,3
No,Married,2269,4892,1,Y,No,19,3,4
Yes,Single,5381,19294,9,Y,Yes,13,3,4
Yes,Single,3441,11179,1,Y,Yes,13,3,3
No,Divorced,5454,4009,5,Y,Yes,21,4,3
No,Married,9884,8302,2,Y,Yes,13,3,3
No,Married,4157,21436,7,Y,Yes,19,3,3
No,Single,13458,15146,1,Y,Yes,12,3,3
No,Married,9069,11031,1,Y,No,22,4,4
No,Married,4014,16002,3,Y,Yes,15,3,3
No,Divorced,5915,9528,3,Y,No,22,4,4
No,Divorced,5993,2689,1,Y,No,18,3,3
No,Married,6162,10877,1,Y,Yes,22,4,2
No,Single,2406,5456,1,Y,No,11,3,4
No,Divorced,18740,16701,5,Y,Yes,12,3,4
No,Single,7637,2354,7,Y,No,11,3,4
No,Divorced,10096,8202,1,Y,No,13,3,2
No,Divorced,14756,19730,2,Y,Yes,14,3,3
No,Single,6499,22656,1,Y,No,13,3,3
No,Divorced,9724,18787,2,Y,No,17,3,3
No,Married,2194,5868,4,Y,No,13,3,4
Yes,Married,3388,21777,0,Y,Yes,17,3,1
No,Single,5473,24668,7,Y,No,11,3,4
No,Married,2703,4956,0,Y,No,23,4,4
No,Single,2501,18775,1,Y,No,17,3,2
No,Married,6220,7346,1,Y,No,17,3,2
No,Married,3038,22002,3,Y,No,12,3,2
No,Single,4424,20682,1,Y,No,23,4,4
No,Single,4312,23016,0,Y,No,14,3,2
No,Married,13245,15067,4,Y,Yes,14,3,2
No,Single,13664,25258,4,Y,No,13,3,1
No,Divorced,5021,10425,8,Y,Yes,22,4,4
No,Married,5126,15998,1,Y,Yes,12,3,3
No,Single,2859,26278,1,Y,No,18,3,1
No,Married,10239,18092,3,Y,No,14,3,4
No,Divorced,5329,15717,7,Y,Yes,12,3,4
No,Married,4325,17736,1,Y,No,15,3,3
No,Single,7260,21698,4,Y,No,11,3,1
No,Divorced,2322,9518,3,Y,No,13,3,3
No,Married,2075,18725,3,Y,No,23,4,2
No,Married,4152,15830,1,Y,No,19,3,1
Yes,Single,9619,13596,1,Y,No,16,3,4
No,Married,13503,14115,1,Y,No,22,4,4
No,Single,5441,8423,0,Y,Yes,22,4,4
No,Divorced,5209,19760,1,Y,Yes,12,3,2
No,Married,10673,3142,2,Y,Yes,13,3,3
No,Single,5010,24301,1,Y,No,16,3,1
No,Married,13549,24001,9,Y,No,12,3,1
No,Married,4999,17519,0,Y,No,21,4,1
No,Married,4221,8863,1,Y,No,15,3,2
No,Single,13872,24409,0,Y,No,13,3,3
No,Married,2042,25043,4,Y,No,12,3,3
Yes,Divorced,2073,23648,4,Y,Yes,22,4,4
No,Single,2956,15178,1,Y,No,13,3,4
Yes,Single,2926,19783,1,Y,Yes,18,3,2
No,Single,4809,12482,1,Y,No,14,3,3
No,Divorced,5163,15850,5,Y,No,14,3,4
No,Married,18844,21922,9,Y,No,21,4,4
No,Married,18172,9755,3,Y,Yes,19,3,1
Yes,Single,5744,26959,1,Y,Yes,11,3,4
No,Married,2889,26897,1,Y,No,11,3,3
No,Single,2871,23785,1,Y,No,15,3,3
No,Single,7484,25796,3,Y,No,20,4,3
Yes,Single,6074,22887,1,Y,Yes,24,4,4
No,Single,17328,13871,2,Y,Yes,12,3,3
No,Married,2774,13257,0,Y,No,12,3,3
No,Divorced,4505,15000,6,Y,No,15,3,3
No,Single,7428,14506,2,Y,No,12,3,1
No,Single,11631,5615,2,Y,No,12,3,4
No,Married,9738,22952,0,Y,No,14,3,3
No,Divorced,2835,2561,5,Y,No,22,4,1
No,Married,16959,19494,1,Y,Yes,12,3,4
No,Divorced,2613,22310,1,Y,No,25,4,3
No,Married,6146,15480,0,Y,No,13,3,1
Yes,Married,4963,4510,9,Y,Yes,18,3,1
No,Single,19537,6462,7,Y,No,13,3,3
Yes,Married,6172,20739,4,Y,Yes,18,3,2
No,Married,2368,23300,1,Y,No,19,3,3
Yes,Married,10312,3465,1,Y,No,12,3,4
