Attrition,StandardHours,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,WorkLifeBalance,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager
Yes,80,0,8,0,1,6,4,0,5
No,80,1,10,3,3,10,7,1,7
Yes,80,0,7,3,3,0,0,0,0
No,80,0,8,3,3,8,7,3,0
No,80,1,6,3,3,2,2,2,2
No,80,0,8,2,2,7,7,3,6
No,80,3,12,3,2,1,0,0,0
No,80,1,1,2,3,1,0,0,0
No,80,0,10,2,3,9,7,1,8
No,80,2,17,3,2,7,7,7,7
No,80,1,6,5,3,5,4,0,3
No,80,0,10,3,3,9,5,0,8
No,80,1,5,1,2,5,2,4,3
No,80,1,3,2,3,2,2,1,2
Yes,80,0,6,4,3,4,2,0,3
No,80,1,10,1,3,10,9,8,8
No,80,2,7,5,2,6,2,0,5
No,80,2,1,2,2,1,0,0,0
No,80,0,31,3,3,25,8,3,7
No,80,0,6,3,3,3,2,1,2
No,80,1,5,5,2,4,2,1,3
Yes,80,0,10,4,3,5,3,0,3
No,80,0,13,4,3,12,6,2,11
No,80,0,0,6,3,0,0,0,0
Yes,80,0,8,2,3,4,2,1,3
No,80,1,26,3,2,14,13,4,8
Yes,80,0,10,5,3,10,2,6,7
No,80,1,10,2,3,9,7,4,2
No,80,1,24,4,3,22,6,5,17
No,80,0,22,2,2,2,2,2,1
No,80,0,7,3,3,1,1,0,0
No,80,0,9,5,4,4,2,1,3
No,80,0,10,5,3,10,0,1,8
Yes,80,1,19,6,4,1,0,0,0
Yes,80,1,6,2,2,2,0,2,0
No,80,2,6,3,2,5,3,1,4
Yes,80,0,3,2,3,3,2,0,2
No,80,0,2,3,3,2,2,2,2
No,80,1,6,3,4,1,1,0,0
No,80,2,10,3,3,5,3,1,3
No,80,1,1,3,3,1,0,0,0
No,80,1,1,6,3,1,0,0,0
Yes,80,0,1,2,2,1,0,0,1
No,80,0,9,0,3,9,8,1,7
No,80,0,12,2,3,12,8,3,7
Yes,80,0,23,0,3,22,15,15,8
No,80,0,10,2,3,9,5,8,7
No,80,0,8,1,3,1,0,0,0
No,80,0,14,4,3,9,6,0,8
No,80,0,1,2,3,1,0,0,1
Yes,80,0,23,2,3,1,0,0,0
Yes,80,0,2,3,2,2,2,2,2
No,80,1,9,2,2,4,3,1,3
No,80,1,10,3,3,4,0,2,3
No,80,1,5,2,2,2,2,0,0
No,80,0,15,1,3,15,14,8,12
No,80,1,9,3,2,9,8,1,8
No,80,1,4,3,3,2,2,2,2
No,80,1,10,3,2,7,7,1,7
No,80,1,7,2,4,7,5,0,7
No,80,1,9,3,3,9,8,7,8
No,80,0,10,2,3,10,3,9,9
No,80,1,29,2,2,27,3,13,8
No,80,0,28,3,2,21,16,7,9
